Codigo;Tipo;Interno;Externo;Altura
AG7558;QUAD;49.0;55.2;15.0
AG7559;QUAD;35.0;41.0;15.0
AG7567;QUAD;69.5;82.0;4.8
AG7571;QUAD;57.5;63.7;14.0
AG7628;QUAD;46.7;58.5;4.5
AG7637;QUAD;50.17;60.49;5.16
AG7638;QUAD;88.27;98.59;5.16
AG7639;QUAD;105.0;111.6;3.5
AG7644;QUAD;128.0;138.4;5.2
AG7729;QUAD;69.5;79.5;3.5
AG7804;QUAD;148.0;157.0;3.3
AG7805;QUAD;176.5;185.5;3.3
AG7819;QUAD;98.0;114.5;6.4
AG7858;QUAD;25.0;31.8;5.0
AG7865;QUAD;13.5;18.2;2.3
AG7902;QUAD;27.8;36.2;4.0
AG7920;QUAD;113.6;118.5;3.5
AG7972;QUAD;53.4;58.4;5.3
AG7991;QUAD;37.2;47.0;5.0
AG7992;QUAD;98.6;110.6;6.3
AG7994;QUAD;58.0;66.0;3.1
AG8035;QUAD;69.5;82.5;6.4
AG8080;QUAD;114.2;127.2;6.5
AG8081;QUAD;58.0;65.4;3.4
AG8089;QUAD;137.0;152.6;6.5
AG8097;QUAD;74.0;91.0;6.5
AG8102;QUAD;94.0;110.6;7.0
AG8107;QUAD;150.5;160.5;2.5
AG8202;QUAD;9.7;23.1;1.9
AG8203;QUAD;12.0;25.4;1.8
AG8208;QUAD;19.8;27.8;6.8
AG8209;QUAD;10.2;21.2;8.0
AG8214;QUAD;318.5;325.5;3.5
AG8280;QUAD;59.7;69.7;3.7
AG8309;QUAD;53.5;71.1;6.5
AG8319;QUAD;59.8;69.8;5.8
AG8321;QUAD;100.0;104.0;2.0
AG8427;QUAD;76.5;88.5;3.5
AG8447;QUAD;177.0;193.6;6.0
AG8448;QUAD;98.0;104.6;3.5
AG8527;QUAD;31.75;35.2;4.2
CX5218;QUAD;69.5;76.5;3.5
CX5898;QUAD;56.0;66.0;3.0
CX5964;QUAD;50.0;60.0;3.0
CX5965;QUAD;54.0;65.0;3.0
CX6001;QUAD;52.0;57.0;2.5
CX6007;QUAD;23.4;27.0;1.8
CX6033;QUAD;39.5;50.3;3.0
CX6045;QUAD;44.2;55.3;3.0
CX6280;QUAD;78.5;83.3;2.4
CX6769;QUAD;58.8;69.8;3.0
CX8602;QUAD;101.0;104.0;1.65
CX8775;QUAD;106.0;111.4;2.6
CX9151;QUAD;21.0;24.0;3.0
CX9192;QUAD;116.5;130.3;3.0
CX9213;QUAD;25.0;29.0;3.0
N10042;QUAD;6.2;10.2;6.0
N10108;QUAD;8.0;18.0;5.0
N10186;QUAD;25.0;31.5;5.5
N10275;QUAD;6.1;8.4;3.8
N10379;QUAD;29.8;33.8;2.0
