Codigo;Tipo;Externo;Interno;Altura
5243;TEFLON;11.3;1.9;0.8
5244;TEFLON;30.8;0.8;2.0
5252;TEFLON;26.5;1.0;2.0
5257;TEFLON;63.0;2.1;6.2
5258;TEFLON;111.0;3.7;3.9
5263;TEFLON;45.0;4.0;2.2
5265;TEFLON;25.4;0.8;3.3
5277;TEFLON;101.6;3.8;2.4
5282;TEFLON;20.0;0.5;2.1
5284;TEFLON;60.0;0.8;7.5
5285;TEFLON;22.5;1.8;1.8
5291;TEFLON;76.2;7.94;3.18
5292;TEFLON;40.0;1.5;3.0
5293;TEFLON;50.8;3.0;3.0
5296;TEFLON;54.0;3.5;3.2
5298;TEFLON;140.0;15.8;3.7
5308;TEFLON;114.0;2.5;5.0
5316;TEFLON;26.5;1.0;2.6
5333;TEFLON;108.0;1.2;3.2
5340;TEFLON;44.5;1.2;2.5
5356;TEFLON;69.85;4.0;2.3
5357;TEFLON;42.7;2.5;2.45
5372;TEFLON;52.0;1.5;4.8
5374;TEFLON;49.2;2.5;1.8
5379;TEFLON;153.6;8.1;4.2
5392;TEFLON;19.0;1.3;2.2
5403;TEFLON;16.0;1.2;2.2
5410;TEFLON;69.85;3.8;2.2
5413;TEFLON;54.0;3.0;1.7
5415;TEFLON;79.4;6.9;2.4
5423;TEFLON;79.4;1.2;3.0
5424;TEFLON;85.0;1.3;2.9
5440;TEFLON;38.1;3.5;3.0
5455;TEFLON;44.45;4.5;3.2
5482;TEFLON;95.25;3.8;2.4
5483;TEFLON;100.0;1.3;3.0
5484;TEFLON;109.5;1.2;3.0
5485;TEFLON;79.37;2.0;3.5
5486;TEFLON;31.8;1.3;3.0
5488;TEFLON;60.3;3.0;3.0
5502;TEFLON;38.5;1.2;2.0
5503;TEFLON;40.0;1.4;2.0
5510;TEFLON;63.5;3.0;3.0
5511;TEFLON;50.8;4.5;3.15
5512;TEFLON;64.5;1.9;2.3
5513;TEFLON;113.5;2.8;2.0
5515;TEFLON;76.2;6.9;2.4
5520;TEFLON;40.0;4.8;2.0
5521;TEFLON;20.0;1.3;2.0
5523;TEFLON;52.0;3.8;2.0
5524;TEFLON;40.0;5.0;1.7
5532;TEFLON;15.5;3.0;1.2
5538;TEFLON;63.5;4.0;2.6
5541;TEFLON;22.0;0.8;2.0
5543;TEFLON;71.0;1.5;2.5
5544;TEFLON;111.0;1.2;2.5
5545;TEFLON;90.0;1.3;2.4
5547;TEFLON;25.4;1.2;2.5
5548;TEFLON;39.0;3.7;2.0
5553;TEFLON;65.0;4.0;2.7
5554;TEFLON;38.1;3.0;2.2
5557;TEFLON;120.0;1.5;2.5
5558;TEFLON;119.0;6.3;2.7
5615;TEFLON;48.0;6.0;2.7
5616;TEFLON;27.0;1.3;3.0
5625;TEFLON;75.0;4.0;2.6
5632-2;TEFLON;89.0;5.2;2.0
5640;TEFLON;76.0;2.9;3.0
5644;TEFLON;26.97;25.0;2.32
5645;TEFLON;101.6;6.7;3.2
5646;TEFLON;88.9;5.9;2.4
5647;TEFLON;114.3;5.9;2.4
5654;TEFLON;124.61;1.7;2.62
5658;TEFLON;75.0;1.5;2.5
5680;TEFLON;127.0;8.0;3.2
5682;TEFLON;125.0;6.0;3.5
5683;TEFLON;143.0;8.0;4.8
5687;TEFLON;71.0;6.5;3.0
5688;TEFLON;50.0;6.0;2.4
5689;TEFLON;101.6;7.95;3.18
5690;TEFLON;114.3;7.95;3.18
5722;TEFLON;82.5;6.0;3.2
5731;TEFLON;140.0;1.2;2.5
5732;TEFLON;160.0;2.0;5.0
5735;TEFLON;52.4;4.0;2.8
5736;TEFLON;127.0;7.0;3.2
5740;TEFLON;160.0;6.0;4.0
5750;TEFLON;60.1;1.9;2.9
5751;TEFLON;36.6;4.1;6.9
5765;TEFLON;74.2;2.0;2.35
5797;TEFLON;89.0;9.4;3.0
5859;TEFLON;50.8;3.2;1.6
5860;TEFLON;120.65;6.9;2.5
5861;TEFLON;44.5;3.0;1.6
5879;TEFLON;55.5;4.0;2.6
