Codigo;Tipo;Externo;Interno;Altura
2214;ANEL_UNIT;24.99;3.53;
2215;ANEL_UNIT;26.57;3.53;
2216;ANEL_UNIT;28.17;3.53;
2217;ANEL_UNIT;29.74;3.53;
2218;ANEL_UNIT;31.34;3.53;
2219;ANEL_UNIT;32.92;3.53;
2220;ANEL_UNIT;34.52;3.53;
2221;ANEL_UNIT;36.09;3.53;
2222;ANEL_UNIT;37.69;3.53;
2223;ANEL_UNIT;40.87;3.53;
2224;ANEL_UNIT;44.04;3.53;
2225;ANEL_UNIT;47.22;3.53;
2226;ANEL_UNIT;50.39;3.53;
2227;ANEL_UNIT;53.57;3.53;
2228;ANEL_UNIT;56.74;3.53;
2229;ANEL_UNIT;59.92;3.53;
2230;ANEL_UNIT;63.09;3.53;
2231;ANEL_UNIT;66.27;3.53;
2232;ANEL_UNIT;69.44;3.53;
2233;ANEL_UNIT;72.62;3.53;
2234;ANEL_UNIT;75.79;3.53;
2235;ANEL_UNIT;78.97;3.53;
2236;ANEL_UNIT;82.14;3.53;
2237;ANEL_UNIT;85.32;3.53;
2238;ANEL_UNIT;88.49;3.53;
2239;ANEL_UNIT;91.67;3.53;
2240;ANEL_UNIT;94.84;3.53;
2241;ANEL_UNIT;98.02;3.53;
2242;ANEL_UNIT;101.19;3.53;
2243;ANEL_UNIT;104.37;3.53;
2244;ANEL_UNIT;107.54;3.53;
2245;ANEL_UNIT;110.72;3.53;
2246;ANEL_UNIT;113.89;3.53;
2247;ANEL_UNIT;117.07;3.53;
2248;ANEL_UNIT;120.24;3.53;
2249;ANEL_UNIT;123.42;3.53;
2250;ANEL_UNIT;126.59;3.53;
2251;ANEL_UNIT;129.77;3.53;
2252;ANEL_UNIT;132.94;3.53;
2253;ANEL_UNIT;136.12;3.53;
2254;ANEL_UNIT;139.29;3.53;
2255;ANEL_UNIT;142.47;3.53;
2256;ANEL_UNIT;145.64;3.53;
2257;ANEL_UNIT;148.82;3.53;
2258;ANEL_UNIT;151.99;3.53;
2259;ANEL_UNIT;158.34;3.53;
2260;ANEL_UNIT;164.69;3.53;
2261;ANEL_UNIT;171.04;3.53;
2262;ANEL_UNIT;177.39;3.53;
2263;ANEL_UNIT;183.74;3.53;
2264;ANEL_UNIT;190.09;3.53;
2265;ANEL_UNIT;196.44;3.53;
2266;ANEL_UNIT;202.79;3.53;
2267;ANEL_UNIT;209.14;3.53;
2268;ANEL_UNIT;215.49;3.53;
2269;ANEL_UNIT;221.84;3.53;
2270;ANEL_UNIT;228.19;3.53;
2271;ANEL_UNIT;234.54;3.53;
2272;ANEL_UNIT;240.89;3.53;
2273;ANEL_UNIT;247.24;3.53;
2274;ANEL_UNIT;253.59;3.53;
2275;ANEL_UNIT;266.29;3.53;
2276;ANEL_UNIT;278.99;3.53;
2277;ANEL_UNIT;291.69;3.53;
2278;ANEL_UNIT;304.39;3.53;
2279;ANEL_UNIT;329.79;3.53;
2280;ANEL_UNIT;355.19;3.53;
2281;ANEL_UNIT;380.59;3.53;
2282;ANEL_UNIT;405.26;3.53;
2309;ANEL_UNIT;10.46;5.33;
2310;ANEL_UNIT;12.07;5.33;
2311;ANEL_UNIT;13.64;5.33;
2312;ANEL_UNIT;15.24;5.33;
2313;ANEL_UNIT;16.81;5.33;
2314;ANEL_UNIT;18.42;5.33;
2315;ANEL_UNIT;19.99;5.33;
2316;ANEL_UNIT;21.59;5.33;
2317;ANEL_UNIT;23.16;5.33;
2318;ANEL_UNIT;24.77;5.33;
2319;ANEL_UNIT;26.34;5.33;
2320;ANEL_UNIT;27.94;5.33;
2321;ANEL_UNIT;29.51;5.33;
2322;ANEL_UNIT;31.12;5.33;
2323;ANEL_UNIT;32.69;5.33;
2324;ANEL_UNIT;34.29;5.33;
2325;ANEL_UNIT;37.47;5.33;
2326;ANEL_UNIT;40.64;5.33;
2327;ANEL_UNIT;43.82;5.33;
2328;ANEL_UNIT;46.99;5.33;
2329;ANEL_UNIT;50.17;5.33;
2330;ANEL_UNIT;53.34;5.33;
2331;ANEL_UNIT;56.52;5.33;
2332;ANEL_UNIT;59.69;5.33;
2333;ANEL_UNIT;62.87;5.33;
2334;ANEL_UNIT;66.04;5.33;
2335;ANEL_UNIT;69.22;5.33;
2336;ANEL_UNIT;72.39;5.33;
2337;ANEL_UNIT;75.57;5.33;
2338;ANEL_UNIT;78.74;5.33;
2339;ANEL_UNIT;81.92;5.33;
2340;ANEL_UNIT;85.09;5.33;
2341;ANEL_UNIT;88.27;5.33;
2342;ANEL_UNIT;91.44;5.33;
2343;ANEL_UNIT;94.62;5.33;
2344;ANEL_UNIT;97.79;5.33;
2345;ANEL_UNIT;100.97;5.33;
2346;ANEL_UNIT;104.14;5.33;
2347;ANEL_UNIT;107.32;5.33;
2348;ANEL_UNIT;110.49;5.33;
2349;ANEL_UNIT;113.67;5.33;
2350;ANEL_UNIT;116.84;5.33;
2351;ANEL_UNIT;120.02;5.33;
2352;ANEL_UNIT;123.19;5.33;
2353;ANEL_UNIT;126.37;5.33;
2354;ANEL_UNIT;129.54;5.33;
2355;ANEL_UNIT;132.72;5.33;
2356;ANEL_UNIT;135.89;5.33;
2357;ANEL_UNIT;139.07;5.33;
2358;ANEL_UNIT;142.24;5.33;
2359;ANEL_UNIT;145.42;5.33;
2360;ANEL_UNIT;148.59;5.33;
2361;ANEL_UNIT;151.77;5.33;
2362;ANEL_UNIT;158.12;5.33;
2363;ANEL_UNIT;164.47;5.33;
2364;ANEL_UNIT;170.82;5.33;
2365;ANEL_UNIT;177.17;5.33;
2366;ANEL_UNIT;183.52;5.33;
2367;ANEL_UNIT;189.87;5.33;
2368;ANEL_UNIT;196.22;5.33;
2369;ANEL_UNIT;202.57;5.33;
2370;ANEL_UNIT;208.92;5.33;
2371;ANEL_UNIT;215.27;5.33;
2372;ANEL_UNIT;221.62;5.33;
2373;ANEL_UNIT;227.97;5.33;
2374;ANEL_UNIT;234.32;5.33;
2375;ANEL_UNIT;240.67;5.33;
2376;ANEL_UNIT;247.02;5.33;
2377;ANEL_UNIT;253.37;5.33;
2378;ANEL_UNIT;266.07;5.33;
2379;ANEL_UNIT;278.77;5.33;
2380;ANEL_UNIT;291.47;5.33;
2381;ANEL_UNIT;304.17;5.33;
