Codigo;Tipo;Interno;Externo;Altura
8368;BACKUP;197.56;206.86;1.93
8369;BACKUP;203.91;1.93;
8370;BACKUP;210.26;219.56;1.93
8372;BACKUP;222.96;232.26;1.93
8373;BACKUP;229.31;238.61;1.93
8374;BACKUP;235.66;244.96;1.93
8375;BACKUP;242.01;251.31;1.93
8378;BACKUP;267.41;276.71;1.93
8425;BACKUP;115.6;127.58;2.97
8425PU;BACKUP;113.4;126.4;2.4
8426;BACKUP;118.77;130.75;2.97
8427;BACKUP;121.95;133.93;2.97
8428;BACKUP;125.2;137.18;2.97
8429;BACKUP;128.3;140.28;2.97
8432;BACKUP;137.82;149.8;2.97
8433;BACKUP;141.0;152.98;2.97
8437;BACKUP;153.7;165.68;2.97
8438;BACKUP;159.36;171.34;2.97
8439;BACKUP;165.71;177.69;2.97
8441;BACKUP;178.41;190.39;2.97
8443;BACKUP;191.11;203.09;2.97
8444;BACKUP;197.46;209.44;2.97
8445;BACKUP;203.81;215.79;2.97
8446;BACKUP;216.51;228.49;2.97
8447;BACKUP;229.21;241.19;2.97
8449;BACKUP;254.61;266.59;2.97
8454;BACKUP;318.11;330.09;2.97
